title,subtitle,authors,categories,average_rating,num_pages,ratings_count,published_year,combined_features
Titan,"The Life of John D. Rockefeller, Sr",Ron Chernow,Biography & Autobiography,4.19,832.0,13312.0,2004.0,"TitanThe Life of John D. Rockefeller, SrRon ChernowBiography & AutobiographyThe author draws on Rockefeller's own papers to provide a biography of the legendary oilman, capitalist, and philanthropist"
For Her Own Good,Two Centuries of the Experts' Advice to Women,Barbara Ehrenreich;Deirdre English,History,3.97,410.0,2056.0,2005.0,"For Her Own GoodTwo Centuries of the Experts' Advice to WomenBarbara Ehrenreich;Deirdre EnglishHistoryAn updated history of the experts, largely men, who have given professional advice to women makes the point that this advice has been unscientific, arrogant, biased, and generally self-serving and exposes the myths told to women in the name of science. Original."
Learned Optimism,How to Change Your Mind and Your Life,Martin E. P. Seligman,Psychology,4.0,319.0,13231.0,2006.0,"Learned OptimismHow to Change Your Mind and Your LifeMartin E. P. SeligmanPsychologyAn authority on cognitive psychology and motivation documents the positive effects of optimism on the quality of life and provides a program of specific exercises designed to break the pessimism habit while developing an optimistic outlook. Reprint. 25,000 first printing."
The Island At The Center Of The World,The Epic Story Of Dutch Manhattan And The Forgotten Colony That Shaped America,Russell Shorto,History,4.13,384.0,6593.0,2005.0,"The Island At The Center Of The WorldThe Epic Story Of Dutch Manhattan And The Forgotten Colony That Shaped AmericaRussell ShortoHistoryA history of the Dutch role in the establishment of Manhattan discusses the rivalry between England and the Dutch Republic, focusing on the power struggle between Holland governor Peter Stuyvesant and politician Adriaen van der Donck that shaped New York's culture and social freedoms. Reprint. 50,000 first printing."
Operating Instructions,A Journal Of My Son's First Year,Anne Lamott,Family & Relationships,4.19,251.0,20993.0,2005.0,"Operating InstructionsA Journal Of My Son's First YearAnne LamottFamily & RelationshipsA single mother and writer grappling alone with the problems of a newborn baby presents a vivid account of the confusion, joys, sorrows, and struggles of the first year in her son's life. Reprint. 20,000 first printing."
Blood Done Sign My Name,A True Story,Timothy B. Tyson,Biography & Autobiography,4.15,368.0,2470.0,2004.0,"Blood Done Sign My NameA True StoryTimothy B. TysonBiography & AutobiographyThe author returns to his hometown of Oxford, North Carolina, to make sense of the thirty-year-old murder of a black man by a Klansman, and the Klansman's subsequent acquittal by an all-white jury."
Beowulf,A Dual-language Edition,Howell D. Chickering,Literary Criticism,3.43,464.0,233.0,2006.0,BeowulfA Dual-language EditionHowell D. ChickeringLiterary CriticismA bilingual edition of the Old English epic poem features the Old English and modern translation of facing pages and chronicles the exploits of the great hero Beowulf in his battles with supernatural monsters. Reprint.
The Eiger Sanction,A Novel,Trevanian,Fiction,4.06,336.0,10094.0,2005.0,"The Eiger SanctionA NovelTrevanianFictionCollege professor, art collector, mountaineer, and freelance assassin Jonathan Hemlock takes on an assignment that means a perilous climb up the Eiger Mountain with a climbing party that includes his quarry. Reprint. 35,000 first printing."
Shibumi,A Novel,Trevanian,Fiction,4.22,480.0,9001.0,2005.0,"ShibumiA NovelTrevanianFictionNicolai Hel uses his nearly superhuman mental and physical prowess to destroy political terrorists and decides to take on The Mother Company itself, a supermonolith of espionage and economic monopoly, in a twenty-fifth anniversary edition of the classic thriller. Reprint. 50,000 first printing."
On the Road to Perdition,Oasis,Max Allan Collins;Jose Luis Garcia-Lopez,Comics & Graphic Novels,3.54,96.0,74.0,2003.0,"On the Road to PerditionOasisMax Allan Collins;Jose Luis Garcia-LopezComics & Graphic NovelsRenegade mob hitman Michael O'Sullivan--the ""Angel of Death""--and his older son Michael Jr. rob rural banks to strike back at the Capone gang in hopes of forcing them to surrender Connor Looney, the man responsible for killing the rest of the family."
Superman,Birthright,Mark Waid;Leinil Francis Yu,Comics & Graphic Novels,4.13,287.0,9912.0,2004.0,"SupermanBirthrightMark Waid;Leinil Francis YuComics & Graphic NovelsReweaves the Superman legend incorporating his established history, from escape as an infant from the doomed planet Krypton to arrival as reporter Clark Kent at the Daily Planet."
Arkham Asylum,A Serious House on Serious Earth,Grant Morrison;Dave McKean,Comics & Graphic Novels,4.1,216.0,50214.0,2004.0,"Arkham AsylumA Serious House on Serious EarthGrant Morrison;Dave McKeanComics & Graphic NovelsLed by the Joker, the patients of Arkham Asylum take over the building and threaten to murder the staff unless Batman agrees to meet with them, a situation that results in Batman being pushed to the brink of madness himself."
Challengers of the Unknown,"Stolen Moments, Borrowed Time",Howard Chaykin;Michelle Madsen,Comics & Graphic Novels,2.86,144.0,43.0,2006.0,"Challengers of the UnknownStolen Moments, Borrowed TimeHoward Chaykin;Michelle MadsenComics & Graphic NovelsFive extraordinary people with seemingly nothing in common share the bond of surviving a cataclysmic event. In a world devoid of super-heroes, they will come together and discover that all they know has been a lie--that the world we live in is not the one we believe it to be. To survive they must unite and face the true masters of our universe. It's a world where literally anything can happen, and probably will--as if living on borrowed time wasn't enough!"
Desolation Jones,Made in England,Warren Ellis;J. H. Williams;José Villarrubia,Comics & Graphic Novels,3.94,144.0,1729.0,2006.0,"Desolation JonesMade in EnglandWarren Ellis;J. H. Williams;José VillarrubiaComics & Graphic NovelsA former field agent for M16, Michael Jones was the first surviving victim of the Desolation Test, a radically dangerous procedure cooked up by the British government. Jones was intravenously kept alive while being force-fed a steady diet of horrific data and images non-stop as stimulants were continuously pumped into his body--keeping him conscious and alert for a solid year. Now retired from the agency, Jones lives in Los Angeles, acting as a private investigator to the secret underground community of ex-spooks who have come in from the cold, and who have no one else to turn to."
Jack of Fables,The (nearly) Great Escape,Bill Willingham;Matthew Sturges;Tony Akins;Andrew Pepoy,Comics & Graphic Novels,3.58,128.0,4288.0,2007.0,"Jack of FablesThe (nearly) Great EscapeBill Willingham;Matthew Sturges;Tony Akins;Andrew PepoyComics & Graphic NovelsAfter earning a fortune by cashing in on his own legend, Little Jack Horner--a.k.a. Jack B. Nimble, a.k.a. Jack the Giant Killer--is stripped of his wealth, banished from Fabletown, and tossed into a gulag filled with other renegade fables."
Sgt. Rock,The Prophecy,Joe Kubert,Comics & Graphic Novels,3.48,144.0,75.0,2007.0,Sgt. RockThe ProphecyJoe KubertComics & Graphic NovelsRock and Easy Company parachute into Nazi-occupied Lithuania to rescue a young rabbi so they can bring him to America and make the horrors of the Holocaust known to the world.
Superman,Back in Action,Kurt Busiek;Fabian Nicieza;Pete Woods;Len Wein;Gerry Conway;José Luis García-López,Juvenile Fiction,3.18,144.0,136.0,2007.0,"SupermanBack in ActionKurt Busiek;Fabian Nicieza;Pete Woods;Len Wein;Gerry Conway;José Luis García-LópezJuvenile FictionA story featuring the Man of Steel being pursued by an alien race collecting Earth's most unique specimens is accompanied by additional stories with such characters as Nightwing, Firestorm, Deadman, Aquaman, and the Metal Men."
Pledged,The Secret Life of Sororities,Alexandra Robbins,Education,3.17,384.0,245.0,2004.0,"PledgedThe Secret Life of SororitiesAlexandra RobbinsEducationAn provocative look inside the world of sorority life offers an eye-opening view of the drugs, psychological abuse, promiscuity, racism, violence, and other problems that are rampant among young women in a typical sorority and analyzes why intelligent young women put up with these abuses in order to become part of a sorority sisterhood. 25,000 first printing."
Jamie's Dinners,The Essential Family Cookbook,Jamie Oliver,Cooking,4.07,336.0,4248.0,2004.0,"Jamie's DinnersThe Essential Family CookbookJamie OliverCookingCooking sensation Jamie Oliver returns with a cookbook designed to delight the entire family! estselling cookbook author Jamie Oliver takes his signature fresh, fun cooking style into new territory by putting his focus on the family. Designed to encourage us to eat healthier meals at home and enjoy our time spent in the kitchen, Jamie's Dinners features over 100 new and simple recipes for easy-to-afford, easy-to-prepare gourmet dinners that will get even the busiest of families back into the kitchen. Jamie's pared-down style and inventive use of fresh, uncomplicated ingredients will ensure that even novice chefs can cook up delicious dinners with confidence and ease using accessible, stylish recipes that the whole family will love, such as Farfalle with Carbonara and Spring Peas and Japanese-Style Saturday Night Steak."
I Shouldn't Even Be Doing This!,And Other Things That Strike Me as Funny,Bob Newhart,Biography & Autobiography,3.74,239.0,2184.0,2006.0,"I Shouldn't Even Be Doing This!And Other Things That Strike Me as FunnyBob NewhartBiography & AutobiographyThe legendary comedian shares a collection of anecdotes from throughout his life and entertainment career, as well as hilarious observations on life, television, golf, family holidays, drinking, his beginnings as an accountant, and other topics."
Being dead is no excuse,the official southern ladies guide to hosting the perfect funeral,Gayden Metcalfe;Charlotte Hays,Cooking,3.86,243.0,1681.0,2005.0,"Being dead is no excusethe official southern ladies guide to hosting the perfect funeralGayden Metcalfe;Charlotte HaysCookingA Southern hostess shares the secrets of throwing the proper Southern funeral in a hilarious compilation of recipes and humor that answers such essential questions as: Can you be properly buried without tomato aspic? and Who prepares better funeral fare, the Episcopal ladies or the Methodist ladies? 35,000 first printing."
Mother God,The Feminine Principle to Our Creator,Sylvia Browne,"Body, Mind & Spirit",4.04,128.0,458.0,2004.0,"Mother GodThe Feminine Principle to Our CreatorSylvia BrowneBody, Mind & SpiritThe author discusses the history of the Mother God in religions and cultures from around the world, stories to reveal her power, and how to petition her for help."
The Power of Infinite Love & Gratitude,An Evolutionary Journey to Awakening Your Spirit,Darren R. Weissman,Health & Fitness,4.11,298.0,59.0,2007.0,"The Power of Infinite Love & GratitudeAn Evolutionary Journey to Awakening Your SpiritDarren R. WeissmanHealth & FitnessWould you like to discover your infinite potential for healing and moving through life's challenges? If so, The Power of Infinite Love & Gratitude by Dr. Darren R. Weissman will help you view your life from a new and heightened perspective. You'll learn to unleash your mind and body's extraordinary capacity for healing; and you'll begin to understand the complex language of physical symptoms, dis-ease, and stress. This work reveals the journey of your spirit and sheds a new light on one of the greatest mysteries humankind has attempted to unravel—the subconscious mind. As you read, you'll find that you're learning how to transform and master your life based on these key lessons: The universe is infinite; you have free will—a choice with every experience; everything is interconnected; judgment is prohibited; the greatest power is self-love; you need to embrace life with the attitude of gratitude; you must take responsibility for your life; life has meaning; and much more."
Lila's Child,An Inquiry Into Quality,Dan Glover,Computers,3.6,600.0,52.0,2003.0,"Lila's ChildAn Inquiry Into QualityDan GloverComputersSecular Faith revolves around the friendship of two men, one Christian and the other atheist. The difference in their perspectives, where faith and reason seem to diverge, forms the underlying tension that propels the storyline. When an unlikely sequence of fortune and misfortune seems divinely influenced and leads them to interpret events differently, it produces conflicting judgments on how to react, and their friendship is put to the test. Counteracting the wedge that pushes them apart is the human drive to grasp the spiritual meaning of existence. Because it is not enough to agree to disagree, each is driven to bring the other to his view in order to affirm that it represents truth. Their actions are influenced not by a God who intervenes in the matters of mankind, but by belief of whether or not He does. Ultimately they discover that a man is defined by his actions and not by what he believes to be true. Morality exists to guide actions, not thoughts. The story of Tom Dagney and Christopher Pierce represents the struggle between belief and non-belief within men who, by their very nature, doubt that which they profess to believe, and struggle to understand this dichotomy. How belief translates into behavior proves far more intriguing than scholarly debate about philosophical perspectives. Caring about what people think pales compared to the passions aroused by how they live. This story of friendship, love, envy, tragedy, and redemption gives breath to philosophy and life to the struggle to identify human purpose. Above all Secular Faith exemplifies that, without a doubt, a man who puts aside his faith to serve his friends will always be a better man than one who puts aside his friends to serve his faith."
EntreMundos/AmongWorlds,New Perspectives on Gloria Anzaldua,AnaLouise Keating,Literary Collections,4.47,304.0,15.0,2005.0,"EntreMundos/AmongWorldsNew Perspectives on Gloria AnzalduaAnaLouise KeatingLiterary CollectionsEntreMundos offers a multidisciplinary investigation of the concepts, impact, and writings of contemporary cultural theorist and creative writer, Gloria Anzaldua. Her work, which is frequently anthologized and often cited, as well as widely taught at the high school, undergraduate, and graduate level, has challenged and expanded previous views in American Studies, Chicano/a Studies, composition studies, cultural studies, ethnic studies, feminism, literary studies, critical pedagogy, and queer theory. Here scholars from a number of disciplines gather to reflect critically and anecdotally on Anzaldua's writing, her ideas, and the wider significance of her work. Highlighting some of Anzaldúa's lesser explored theories, EntreMundos challenges readers to re-examine Anzaldúa's writings and theorizing from additional perspectives. The goal is to broaden Anzaldúan scholarship, shifting the conversation in new directions while underscoring the visionary yet pragmatic social-justice dimensions of her work."
Strawberry Days,How Internment Destroyed a Japanese American Community,David A. Neiwert,History,3.97,288.0,55.0,2005.0,"Strawberry DaysHow Internment Destroyed a Japanese American CommunityDavid A. NeiwertHistoryStrawberry Days tells the vivid and moving tale of the creation and destruction of a Japanese immigrant community. Before World War II, Bellevue, the now-booming ""edge city"" on the outskirts of Seattle, was a prosperous farm town renowned for its strawberries. Many of its farmers were recent Japanese immigrants who, despite being rejected by white society, were able to make a living cultivating the rich soil. Yet the lives they created for themselves through years of hard work vanished almost instantly after the bombing of Pearl Harbor. David Neiwert combines compelling story-telling with first-hand interviews and newly uncovered documents to weave together the history of this community and the racist schemes that prevented the immigrants from reclaiming their land after the war. Ultimately, Strawberry Days represents more than one community's story, reminding us that bigotry's roots are deeply entwined in the very fiber of American society."
Christian Theology,An Introduction,Alister E. McGrath,Religion,4.04,534.0,1147.0,2006.0,"Christian TheologyAn IntroductionAlister E. McGrathReligionAlister McGrath’s internationally-acclaimed Christian Theology: An Introduction is one of the most widely used textbooks in Christian theology. Fully revised and featuring lots of new material, this fourth edition provides an unparalleled introduction to 2,000 years of Christian thought. A fully revised new edition of the bestselling introductory textbook in Christian theology Features new sections on monastic schools of theology, the English Reformation, and Radical Orthodoxy Includes increased discussion of women in the early Church, feminist theology, Eastern Orthodox theology and history, and Catholic teachings on the Doctrine of the Church Incorporates user-friendly key terms sections, and study questions Supported by a website at www.blackwellpublishing.com/mcgrath, containing additional lecturer resources."
South Park and Philosophy,"You Know, I Learned Something Today",Robert Arp,Philosophy,3.41,273.0,1067.0,2006.0,"South Park and PhilosophyYou Know, I Learned Something TodayRobert ArpPhilosophyIf you think Saddam and Satan make a kinky couple, wait till you get a load of South Park and Philosophy. Get your Big Wheels ready, because we’re going for a ride, as 22 philosophers take us down the road to understanding the big-picture issues in this small mountain town. A smart and candid look at one of television’s most subversive and controversial shows, celebrating its 10th anniversary this year Draws close parallels between the irreverent nature of South Park and the inquiring and skeptical approach of philosophy Addresses the perennial questions of the show, and the contemporary social and political issues that inspire each episode Uses familiar characters and episodes to illustrate topics such as moral relativism, freedom of expression, gay marriage, blasphemy, democracy, feminism, animal ethics, existential questions and much more makes you laugh out loud"
The Pursuit of History,"Aims, Methods and New Directions in the Study of Modern History",John Tosh;Sean Lang,History,3.45,357.0,354.0,2006.0,"The Pursuit of HistoryAims, Methods and New Directions in the Study of Modern HistoryJohn Tosh;Sean LangHistoryTheessential introduction to the practice of history - revised with new features to ensure it is even more popular with students. Tosh is consistently the best-selling Longman History textbook The last 3 editions have achieved total sales of over 83,000 copies The use of photos of significant people and events help make the text more lively New layout and design enables readers to understand themes more quickly"
Spire,Notes,William Golding,Fiction,3.59,135.0,592.0,2006.0,SpireNotesWilliam GoldingFictionThe nation's favourite and best-selling study guides
The Story of the Life of Lafayette,As Told by a Father to His Children,Mrs John Farrar,History,3.93,368.0,29.0,2019.0,"The Story of the Life of LafayetteAs Told by a Father to His ChildrenMrs John FarrarHistoryThis is a reproduction of the original artefact. Generally these books are created from careful scans of the original. This allows us to preserve the book accurately and present it in the way the author intended. Since the original versions are generally quite old, there may occasionally be certain imperfections within these reproductions. We're happy to make these classics available again for future generations to enjoy!"
The End of Nana Sahib,The Steam House,Jules Verne,Fiction,3.62,276.0,186.0,2003.0,"The End of Nana SahibThe Steam HouseJules VerneFictionThis story is dated a few years after the Indian Mutiny. A party of men travel many miles in a wonderful moving house, drawn by a marvelous steam elephant. Their many adventures, and the doings of Nana Sahib, the fiend of the Mutiny and his final overthrow, are very exciting."
A Million Little Pieces of Feces,The Fake Memoir That's So Much More Fun Than James Frey's,Python Bonkers,Fiction,3.55,256.0,42.0,2006.0,"A Million Little Pieces of FecesThe Fake Memoir That's So Much More Fun Than James Frey'sPython BonkersFiction(Selected excerpts and outside reviews can be found by clicking on the blue Python Bonkers hyperlink.) This book may share an alphabetical lineage with the Frey book, but there is no melodramatic redemption here -- it is not a parody of that book but its own entity. As one of the characters from the book says, We're still involved in the commission of the acts that will require redemption -- and those stories are always so much more fun. Bonkers and his bizarre team embarks on a gonzo tear through the streets of Los Angeles and across the pop cultural landscape as well. In his satirical quest for truth in journalism, and life, he must navigate through the many odd tiers of social class, in both the Southern California culture and in his Machiavellian office life and its absurd red and blue political divisions. This is no heart-wrenching tale of excess, its destination is hilarity, so it presses the pedal to the metal and takes no prisoners."
The Radical Right and the Murder of John F. Kennedy,Stunning Evidence in the Assassination of the President,Harrison E. Livingstone,History,3.22,615.0,9.0,2004.0,"The Radical Right and the Murder of John F. KennedyStunning Evidence in the Assassination of the PresidentHarrison E. LivingstoneHistoryThe Radical Right and the Murder of John F. Kennedy: Stunning Evidence in the Assassination of the President Harrison E. Livingstone's major new book, the fifth of his works on the death of JFK, brings together for the first time all of the central evidence demonstrating a domestic Right Wing conspiracy rooted in Texas which assassinated the President on November 22, 1963. The book represents forty years of work. The book discusses in great detail the actual medical evidence and the forgery of the autopsy photographs and X-rays, which Mr. Livingstone first exposed, the alteration of the autopsy report, the framing of the designated patsy, Lee Harvey Oswald, and the substitution and fabrication of every single piece of evidence. It discusses the role played in the murder by some of the most powerful men in the country: Lyndon Johnson, J. Edgar Hoover, and Richard Nixon, as well as the rich oil men and companies who backed them. It then describes the cover-ups by the media, the major investigations over the years, the FBI, and the mind-control cooperation at work in the case to misdirect researchers and the public. The book describes in great detail the people and companies in Texas who planned and carried out the assassination. It names names. One recent investigation in the 90s followed Mr. Livingstone's preceeding work and reinvestigated with the witnesses both he and the official investigations had talked to, but this time took into consideration their documentation and what they had actually said, and in a chapter this is his stunning new evidence from the U.S. government under President Clinton that is blowing the lid off the case. Mr. Livingstone first revealed to the Washington press corps in 1998 that there has been such a secret investigation, and spoke for fifty minutes when the Assassination Records Review Board gave their final press conference. As a result, Mr. Livingstone was on all major TV networks and on the ""Today"" show (NBC) with Katie Couric the next morning. The book also contains the story of Dallas doctor Charles Crenshaw's law suit and the depositions of the editor and writer of the Journal of American Medical Association who libeled him in articles in 1992. Dr. Crenshaw's book about trying to save Kennedy at Parkland Hospital shortly after the shooting came out on the same day as Mr. Livingstone's major work on the medical evidence, High Treason 2, were JAMA's targets, and the depositions contain much discussion of Mr. Livingstone's major impact on the JFK case. This new book is to be followed closely by a sixth book entirely about the Zapruder film, called The Hoax of the Century: Decoding the Forgery of the Zapruder Film."
The Regime,Evil Advances : Before They Were Left Behind,Tim F. LaHaye;Jerry B. Jenkins,Fiction,4.11,391.0,3546.0,2005.0,"The RegimeEvil Advances : Before They Were Left BehindTim F. LaHaye;Jerry B. JenkinsFictionThe second prequel traces the rise of the Antichrist and the journey of the main characters--including Rayford, Chloe, and Buck--toward the Rapture where the seven-year Tribulation awaits them."
The Rapture,In the Twinkling of an Eye : Countdown to the Earth's Last Days,Tim F. LaHaye;Jerry B. Jenkins,Fiction,4.15,351.0,2771.0,2007.0,"The RaptureIn the Twinkling of an Eye : Countdown to the Earth's Last DaysTim F. LaHaye;Jerry B. JenkinsFictionWhen Nicolae Carpathia, the ruthless newly appointed president of Romania, speaks before the U.N., millions of people disappear and are welcomed into the presence of God, but for those who are left behind, only the darkest days lie ahead."
Star Trek: Voyager: String Theory #3,Evolution,Heather Jarman,Fiction,3.8,416.0,313.0,2006.0,"Star Trek: Voyager: String Theory #3EvolutionHeather JarmanFictionWith Captain Janeway dying, Chakotay assumes command of the Voyager, only to be confronted by the disappearance of Paris, Kim, and the Doctor, while the Federation's old nemesis, the cosmic meddler Q, sends two of the missing crewmembers on a voyage into the past, and the conflict ranging in the Monorhan system threatens to engulf the entire universe. Original."
The Farthest Shore,Book Three,Ursula K. Le Guin,Fiction,4.13,259.0,76746.0,2004.0,"The Farthest ShoreBook ThreeUrsula K. Le GuinFictionWhen the prince of Enlad declares the wizards have forgotten their spells, Ged sets out to test the ancient prophecies of Earthsea."
Cell,A Novel,Stephen King,Fiction,3.65,449.0,163786.0,2006.0,"CellA NovelStephen KingFictionMayhem and violence are unleashed around the world when a pulse from a mysterious source transforms all cell phone users into savage, unthinking, homicidal maniacs, and only a small band of ""normies"" who somehow avoided the technological attack can stop the rampage. Reprint."
The Guy Not Taken,Stories,Jennifer Weiner,Fiction,3.48,292.0,21371.0,2006.0,"The Guy Not TakenStoriesJennifer WeinerFictionFrom the bestselling author of ""Good in Bed"" comes a new collection of stories."
Santa Cruise,A Holiday Mystery at Sea,Mary Higgins Clark;Carol Higgins Clark,Fiction,3.41,261.0,4631.0,2006.0,"Santa CruiseA Holiday Mystery at SeaMary Higgins Clark;Carol Higgins ClarkFictionEmbarking on a Mystery Seminar luxury cruise during the holiday season, amateur sleuth Alvirah, private detective Regan, and their family members find their voyage overshadowed by reports of a ghost spotting, the disappearance of a fan, and an unexpected storm. 550,000 first printing."
More Twisted,Collected Stories,Jeffery Deaver,Fiction,3.84,433.0,1630.0,2006.0,More TwistedCollected StoriesJeffery DeaverFictionA collection of sixteen short works includes a new tale featuring Lincoln Rhyme and Amelia Sachs.
Same Sex in the City,(So Your Prince Charming Is Really a Cinderella),Lauren Levin;Lauren Blitzer,Self-Help,3.58,250.0,385.0,2006.0,"Same Sex in the City(So Your Prince Charming Is Really a Cinderella)Lauren Levin;Lauren BlitzerSelf-HelpAt last, a relationship book for lesbians that tells it like it is . . . The journey from sexual curiosity to finally coming out can be confusing without proper guidance and empowering role models. In Same Sex in the City, Lauren Levin and Lauren Blitzer provide women -- gay, straight, and bi-curious alike -- with firsthand insight into the advantages and challenges of being a lesbian. In prose that is at once honest and uplifting, the Laurens relate their own experiences and those of the women they interview, as well as offer serious advice, titillating anecdotes, and a positive attitude for girls who know they're gay -- and for those who are wondering about their sexuality but are not yet sure whether their Prince Charming is really a Cinderella. Part confessional, part informational, Same Sex in the City covers the gamut of lesbian life -- from dating to heartbreak, and from hooking up with straight chicks to raising a family. It's the book that millions of women have been searching for -- a relationship guide that will help every woman come to terms with and celebrate her sexuality, whatever it may be."
He's Just Not That Into You (The Newly Expanded Edition),The No-Excuses Truth to Understanding Guys,Greg Behrendt;Liz Tuccillo,Family & Relationships,3.66,208.0,51316.0,2006.0,"He's Just Not That Into You (The Newly Expanded Edition)The No-Excuses Truth to Understanding GuysGreg Behrendt;Liz TuccilloFamily & RelationshipsHe’s Just Not That Into You—based on a popular episode of Sex and the City—is tough love advice for otherwise smart women on how to tell when a guy just doesn’t like them enough, so they can stop wasting time making excuses for a dead-end relationship. It’s the best relationship advice you’ll ever receive. For ages, women have come together over coffee, cocktails, or late-night phone chats to analyze the puzzling behavior of men. He’s afraid to get hurt again. Maybe he doesn’t want to ruin the friendship. Maybe he’s intimidated by me. He just got out of a relationship. Greg Behrendt and Liz Tuccillo are here to say that—despite good intentions—you’re wasting your time. Men are not complicated, although they’d like you to think they are. And there are no mixed messages. The truth may be, He’s just not that into you. Unfortunately, guys are too terrified to ever directly tell a woman, “You're not the one.” But their actions absolutely show how they feel. Reexamining familiar scenarios and classic mindsets that keep us in unsatisfying relationships, Behrendt and Tuccillo’s wise and wry understanding of the sexes spares women hours of waiting by the phone, obsessing over the details with sympathetic girlfriends, and hoping his mixed messages really mean, “I’m in love with you and want to be with you.” He’s Just Not That Into You is provocative, hilarious, and, above all, intoxicatingly liberating. It deserves a place on every woman’s night table. It knows you’re a beautiful, smart, funny woman who deserves better. The next time you feel the need to start “figuring him out,” consider the glorious thought that maybe, He’s just not that into you. And then set yourself loose to go find the one who is. This NEWLY EXPANDED EDITION includes: a new foreword from Greg Behrendt; a new chapter—providing an honest look at the stages of life after He's Just Not That Into You, according to Liz, including exaltation, loneliness, temptation, and balance; and Greg and Liz address the most frequently asked reader questions."
The Curious Incident of the Dog in the Night-time,A Novel,Mark Haddon,Autism,3.87,6.0,589.0,2003.0,"The Curious Incident of the Dog in the Night-timeA NovelMark HaddonAutismDespite his overwhelming fear of interacting with people, Christopher, a mathematically-gifted, autistic fifteen-year-old boy, decides to investigate the murder of a neighbor's dog and uncovers secret information about his mother."
The Scarlet Letter,A Kaplan SAT Score-Raising Classic,Nathaniel Hawthorne,Study Aids,3.39,553.0,22.0,2006.0,"The Scarlet LetterA Kaplan SAT Score-Raising ClassicNathaniel HawthorneStudy AidsThe Scarlet Letter: A Kaplan SAT Score-Raising Classic features: *The complete tale of the classic novel, The Scarlet Letter *More than 800 vocabulary words frequently tested on the SAT highlighted throughout the text *Definitions for each highlighted word on the facing page *A pronunciation guide *An index for easy reference"
Ellora's Cavemen,Dreams of the Oasis,Elisa Adams;Sylvia Day;Anna J. Evans;Denise A. Agnew;B. J. McCall,Fiction,3.64,272.0,129.0,2005.0,"Ellora's CavemenDreams of the OasisElisa Adams;Sylvia Day;Anna J. Evans;Denise A. Agnew;B. J. McCallFictionAllergic to Love By Anna J. Evans Marcus Ashton is a werewolf searching for his one true mate. He's had his share of fantasies about the perfect woman, but none of them involved severe canine allergies or a colleague out to get him fired. Ella Bradley has had enough of controlling men and no amount of chemistry is going to change her mind, especially when she suspects the dangerously handsome Marcus of slipping libido-enhancing drugs into her cocoa. These two would-be lovers have less than twelve hours to clear up a major biological roadblock and a little human misunderstanding, or they may find themselves permanently allergic to love. Blind Date By Elisa Adams Ruthie Ryan has been unlucky in love. Her recent dates have all been complete disasters. There's only one man she's ever met who really gets her - but he's out of the question. He's her best friend. Mike wants more than friendship with Ruthie, but she doesn't believe him. Sick of waiting for her to take him seriously, he sets up a night of pure romantic fantasy in the guise of a blind date. He knows what she wants and he plans to use the knowledge to his advantage. They belong together and he has one night touse every sensual weapon in his arsenal to prove it. Eclipse By Denise A Agnew New Orleans.Halloween. A blood red eclipse will cover this night. . . Dawn went to the Den of Wolves, certain she could save her wayward sister from immortality. She knew only one man could help her-Niall Machaire. The man her sister had loved and left ten years ago. Something isn't quite right about Niall, but she isn't certain what it is. . . What is he? Dawn feared the primal, unstoppable craving she experienced for the gorgeous man. When he saves her life, and she awakens naked in his bed, she discovers his help may cost an immortal price. Genesis By B.J. McCall The deadly Purge has passed. Dr. Tria Anara and four young women are all that is left of the Zyrai people. Without compatible male seed, the Zyrai race is doomed to"
"Fullmetal Alchemist, Vol. 5",Hana Yori Dango,Hiromu Arakawa,Comics & Graphic Novels,4.56,200.0,12344.0,2006.0,"Fullmetal Alchemist, Vol. 5Hana Yori DangoHiromu ArakawaComics & Graphic NovelsWhen an alchemical ritual goes awry, causing Edward Elric to lose limbs and his brother to become trapped in a suit of armor, Edward begins a quest to recover the one thing that can restore them, the legendary Philosopher's Stone."
Ghost in the Shell 2: Innocence (Novel - Paperback),After The Long Goodbye,Masaki Yamada,Comics & Graphic Novels,3.99,196.0,23.0,2007.0,"Ghost in the Shell 2: Innocence (Novel - Paperback)After The Long GoodbyeMasaki YamadaComics & Graphic NovelsPart man, but mostly machine, Batou is the toughest son of a bitch employed by a mysterious agency known as Section 9. When terrorists come to town, Batou straps on a battery of high-tech weaponry and goes to work. But even a hulking cyborg like Batou has a sensitive side. After all these years, he still mourns the loss of his partner, Maj. Motoko Kusanagi. And now his beloved basset hound Gabriel has mysteriously disappeared. To complicate matters even further, he’s having reoccurring dreams about a son he never had. Combating violent insurgents is one thing; getting in touch with your feelings is totally different. Suddenly, Batou must grapple with the thing he understands the least: his own humanity! Expanding on the concepts explored in the movie, Ghost in the Shell 2: Innocence, Masaki Yamada’s novel also stands as a wholly original piece of work not tethered directly to any Ghost in the Shell continuity. Say hello to After The Long Goodbye—highly recommended for readers looking for science fiction with a soul."
Pirates of the Caribbean: The Coming Storm - Jack Sparrow Book #1,Junior Novel,Rob Kidd,Juvenile Fiction,3.83,135.0,1364.0,2006.0,"Pirates of the Caribbean: The Coming Storm - Jack Sparrow Book #1Junior NovelRob KiddJuvenile FictionTeenage stowaway Jack Sparrow and his band of ragtag hoodlums are on a mission to find the legendary Sword of Corts which will grant them unimaginable power, but first they have to survive the power of the sea, vicious pirates, and ancient curses. Original."
